accession	basisOfRecord	catalogNumber	collectionCode	country	decimalLatitude	decimalLongitude	elevation	eventDate	identifiedBy	institutionCode	locality	occurrenceID	recordedBy	scientificName	score	similarities	sourceURL	specimen_voucher	sex
KJ592444	PRESERVED_SPECIMEN	BC ZSM NEU 169	BOLD	Germany	48.421299	11.614	490.0	2011-07-10T00:00:00	Axel Gruppe	ZSM	Oberbayern - Allersh. Oberh. Haslbergerweiher		A. Gruppe	Sympherobius elegans (Stephens, 1836)	1.0	['CATALOG_NUMBER', 'COUNTRY', 'COLLECTION_DATE', 'COLLECTED_BY', 'LOCALITY', 'SCIENTIFIC_NAME']	https://api.gbif.org/v1/occurrence/887433879	ZSM:BOLD:BC ZSM NEU 169	
JX876356	PRESERVED_SPECIMEN	O.178450		Norway				2004-01-01T00:00:00			Hedmark, Engerdal, Hovderoa	JX876356		Gloeoporus taxicola (Pers.) Gilb. & Ryvarden	1.0	['CATALOG_NUMBER', 'COUNTRY', 'COLLECTION_DATE', 'LOCALITY', 'SCIENTIFIC_NAME']	https://api.gbif.org/v1/occurrence/3346124767	O.178450	
KM983072	PRESERVED_SPECIMEN	10-166	Marine Vertebrates		32.1	-137.9		2009-08-09T00:00:00		SIO		9607ed6e-f0be-41b6-bc2c-124fc1c1f2f9	P Davison, SIO grad student	Scopelarchus guentheri Alcock, 1896	1.0	['CATALOG_NUMBER', 'SCIENTIFIC_NAME']	https://api.gbif.org/v1/occurrence/1423567731	SIO:Marine Vertebrates:10-166	
DQ003450	PRESERVED_SPECIMEN	AC-1936-109	ZM	Madagascar						MNHN	Bas Mandraré. Histr Ambovombé. Prov Fort-dauphin	http://coldb.mnhn.fr/catalognumber/mnhn/zm/ac-1936-109	Bluntschli|Bluntschli	Microcebus murinus (J.F.Miller, 1777)	1.0	['CATALOG_NUMBER', 'SCIENTIFIC_NAME']	https://api.gbif.org/v1/occurrence/1265164585	MNHN:ZM:AC-1936-109	FEMALE
GQ860711	PRESERVED_SPECIMEN	UWBM:Mamm:80059	Mamm	United States of America			1646.0	2006-09-23T00:00:00	unknown	UWBM	near Basque; Blue Mtn. Pass Rd. near Hwy95	http://arctos.database.museum/guid/UWBM:Mamm:80059?seid=3649710	Collector(s): Dou-Shuan Yang; Preparator(s): Dou-Shuan Yang	Peromyscus maniculatus (Wagner, 1845)	1.0	['CATALOG_NUMBER', 'INSTITUTION_CODE', 'SCIENTIFIC_NAME']	https://api.gbif.org/v1/occurrence/1702718131	UWBM:Mamm:UWBM:Mamm:80059	FEMALE
