SOURCE_PRIMARY_ID	SOURCE_SECONDARY_ID	TARGET_PRIMARY_ACC	TARGET_SECONDARY_ACC
887433879		KJ592444	
3346124767		JX876356	
1423567731		KM983072	
1265164585		DQ003450	
1702718131		GQ860711	
